Country,Living the values -Encouraging speaking up,STDDEV
United Arab Emirates,2.470381894,1.187715874
Argentina,2.599004975,1.234951219
Australia,1.658969156,1.028460932
Bangladesh,2.042613636,0.909454946
Brazil,2.01406746,0.873769561
Chile,2.666080936,1.354228003
China,2.578635738,1.284686692
Colombia,2.96108792,1.390343897
Egypt,1.546496783,0.564968904
Spain,2.862723214,1.17947233
France,1.717876915,0.904139683
Great Britian,1.883869425,1.034068295
Greece,2.560252248,1.232655902
Hong Kong,2.261367394,1.375322121
India,2.341286927,1.168819207
Ireland,2.109278879,1.078318372
Italy,1.798336039,0.765382658
Japan,2.271305392,1.214548738
Korea,2.130399711,0.978371015
Lebanon,2.505512422,1.335793887
Mexico,2.846761712,1.507277958
Poland,1.606786115,0.870297838
Portugal,2.319583333,1.102949415
Romania,2.612332589,1.255523689
Russia,1.983014811,0.973605434
Slovakia,1.979572511,0.904573256
Turkey,1.862035033,0.978161413
USA,2.07260421,1.140082584
Czech Republic,2.028216575,0.963900812
Bulgaria,1.894255051,0.769133545
Hungary,2.267857143,1.003713344
Nepal,1.566921769,0.46141426
Ukraine,1.715122378,0.812058928
Uruguay,2.22718254,1.200194559
